document,source_id,kind,section,line,title,fingerprint,curated_specs
PRD-MAIN,AC-ACC-001,acceptance-block,19.0 要求、范围、覆盖和认可,1114,报告行认可门禁,9b7be2403049c63fdf055647613828f460e721735c353a6f942a829a992f1580,
PRD-MAIN,AC-AI-001,acceptance-block,19.1 产品、AI 和报价,1125,图片近似报价 BOM,676dbda64b4c6536eb85066479998b6a011bb8a0cf7fcbfd81b0547e2b9718dd,
PRD-MAIN,AC-AI-002,acceptance-block,19.1 产品、AI 和报价,1128,事实类别不得提升,5074e591582962940fc63667d45787b057ded0d9b7cdb6aa00013513025f7767,
PRD-MAIN,AC-AI-003,acceptance-block,19.1 产品、AI 和报价,1131,失败关闭,7a97051a9a9b190367ff7dcf5da8fb2b92e764f8647d377f414cff857e68f3bc,
PRD-MAIN,AC-ALLOC-001,acceptance-block,19.4 发票、应收和对账,1247,核销原子性,a7c076694646a1250f0223e128158209cdcdfbe48309544dd92849b3804039cc,
PRD-MAIN,AC-AR-001,acceptance-block,19.4 发票、应收和对账,1241,唯一余额影响,67c2767b800c68391ce3e922a038e6a7c8fb6b5235e361591e66a025d729e1b1,
PRD-MAIN,AC-AUTO-001,acceptance-block,19.2 收样、拆解和谱系,1202,DVP&R 多对多闭环,b6146605fc8a267d1a4a472d1d509239861ae4a80c98d6a5b1be13b8d2fa8b42,
PRD-MAIN,AC-AUTO-002,acceptance-block,19.2 收样、拆解和谱系,1205,运行中干预和配置重建,d934bb6d7c5cab3506d6fc1eabb2e6e22fb456bcf58749a804f4706b940c8fd0,
PRD-MAIN,AC-BATCH-001,acceptance-block,19.2 收样、拆解和谱系,1160,批次 QC 影响传播,01cc2441ea0aa368de478813c958a4c96fa5ce726341f04f899e3ea10d111c6e,
PRD-MAIN,AC-BILL-001,acceptance-block,19.4 发票、应收和对账,1232,防重复计费,edba3d5f98b453afe5efd126f74962ebe1c577a35a597ffd81a19fb37b3a0890,
PRD-MAIN,AC-COMP-001,acceptance-block,19.3 检测、QC 和报告,1219,复合样结果归属,52f161f5a52a7cc3c697750dae06887ca178c5e2159aadc1c20ebfb2571e37ad,
PRD-MAIN,AC-COMPOSE-001,acceptance-block,19.2 收样、拆解和谱系,1184,多行业包组合,530241a9ed933edc59b3eaa0976f4357e11afaacd438df87ed6b96c02aab86ba,
PRD-MAIN,AC-CONF-001,acceptance-block,19.0 要求、范围、覆盖和认可,1117,结论层级分离,128d2b59e95b81fe87f8b2d6a5d4639e2f6d9a2bd2a2f4ee0ba9f6c1a20d446a,
PRD-MAIN,AC-CONFIG-001,acceptance-block,19.2 收样、拆解和谱系,1187,受试配置冻结,d22b389b5b5a54dc9ea59e92cb8e5dc5cf7704c952690f09919ec8131be63d1c,
PRD-MAIN,AC-CONTACT-001,acceptance-block,19.2 收样、拆解和谱系,1175,重复迁移全链,18122057126c256bb4aaed3aaaafc7de396e72fb00194dff25c5776166393114,
PRD-MAIN,AC-COV-001,acceptance-block,19.0 要求、范围、覆盖和认可,1111,代表性失效,94d75f63bf9540747779e4eaa97c86a22d147ecd02d34869a6885abb3061a44b,
PRD-MAIN,AC-DEGRADE-001,acceptance-block,19.5 安全、AI 降级和恢复,1267,AI 降级,481fc709ea49d26f296906f09fbc6c191629f7032abb6f9abfc68488c832a268,
