review_record_id,change_set_id,subject_ref,subject_hash,review_item_id,role_slot,reviewer_identity_ref,authority_scope,authority_evidence_ref,decision,conditions,blocking_objections,evidence_refs,reviewed_at,signature_or_approval_ref,record_status,notes
RR-PLT-001-PRODUCT,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-001,PRODUCT_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-001-ARCH,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-001,ARCHITECTURE_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-001-ENG,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-001,ENGINEERING_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-002-ARCH,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-002,ARCHITECTURE_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-002-ENG,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-002,ENGINEERING_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-002-SEC,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-002,SECURITY_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-002-OPS,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-002,OPERATIONS_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-003-ARCH,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-003,ARCHITECTURE_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-003-ENG,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-003,ENGINEERING_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-003-QA,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-003,QA_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-004-ENG,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-004,ENGINEERING_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-004-OPS,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-004,OPERATIONS_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-004-QA,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-004,QA_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-004-SEC,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-004,SECURITY_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-005-ARCH,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-005,ARCHITECTURE_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-005-SEC,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-005,SECURITY_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-005-OPS,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-005,OPERATIONS_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-005-QA,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-005,QA_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-006-QUALITY,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-006,QUALITY_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-006-AUDIT,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-006,AUDIT_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
RR-PLT-006-SEC,CHANGE-PLT-NEXT-VERSIONS-001,CHANGE-PLT-NEXT-VERSIONS-001,45864605ef17d55f7f3ccc55736e3bfb4750ff000d77dc42062526f4a472b211,RV-PLT-006,SECURITY_OWNER,,,,PENDING,,,ATC-PLT-000-NEXT-VERSION-CHANGESET.md,,,DRAFT,
